company_name,contact_first_name,contact_last_name,role,email,phone,website,city,state,zip,trade,employees_est,revenue_band,google_rating,reviews_count,website_quality,has_online_booking,has_chat_widget,has_service_area_pages,last_site_update,lead_score,segment,pain_point,offer_angle,status,next_step,next_touch_date,notes
Bayou City Plumbing,,,,,,https://example.com,Houston,TX,77002,Plumbing,1-5,250k-1m,4.5,66,Outdated mobile UX,No,No,No,Unknown,90,A,Missed mobile calls,LeadLaunch Starter + click-to-call optimization,To Contact,Find owner email,,
Space City Leak & Drain,,,,,,https://example.com,Houston,TX,77007,Plumbing,1-5,250k-1m,4.4,52,Weak CTA placement,No,No,No,Unknown,87,A,Low homepage conversion,LeadLaunch Starter + emergency CTA block,To Contact,Find owner email,,
Houston Water Heater Specialists,,,,,,https://example.com,Houston,TX,77008,Plumbing,6-15,1m-3m,4.7,128,No dedicated landing pages,No,No,Partial,Unknown,85,A,High-ticket service not showcased,LeadLaunch Growth + service page map,To Contact,Find operations manager email,,
Heights Plumbing Services,,,,,,https://example.com,Houston,TX,77009,Plumbing,1-5,250k-1m,4.3,44,No quote funnel,No,No,No,Unknown,83,B,Form friction,LeadLaunch Starter + quote flow redesign,To Contact,Find owner email,,
West Houston Emergency Plumbing,,,,,,https://example.com,Houston,TX,77024,Plumbing,1-5,250k-1m,4.5,71,No after-hours conversion,No,No,No,Unknown,82,B,Missed night/weekend leads,LeadLaunch Starter + missed-call SMS add-on,To Contact,Find owner email,,
Memorial Plumbing Team,,,,,,https://example.com,Houston,TX,77057,Plumbing,6-15,1m-3m,4.6,93,No lead tracking,No,No,No,Unknown,80,B,Unknown lead source quality,LeadLaunch Growth + call/form tracking,To Contact,Find office manager email,,
Galleria Pipe & Drain,,,,,,https://example.com,Houston,TX,77056,Plumbing,1-5,250k-1m,4.2,35,Slow mobile speed,No,No,No,Unknown,78,B,Mobile visitor drop-off,LeadLaunch Starter + performance tune,To Contact,Find owner email,,
Northwest Houston Rooter,,,,,,https://example.com,Houston,TX,77040,Plumbing,6-15,1m-3m,4.4,89,Generic copy/no trust blocks,No,No,No,Unknown,76,C,Weak trust signal,LeadLaunch Growth + social proof blocks,To Contact,Find owner email,,
Clear Lake Plumbing Group,,,,,,https://example.com,Houston,TX,77058,Plumbing,1-5,250k-1m,4.1,29,No service area depth,No,No,No,Unknown,74,C,Poor local relevance,LeadLaunch Growth + city pages,To Contact,Find owner email,,
Katy Area Plumbing & Drain,,,,,,https://example.com,Houston,TX,77449,Plumbing,1-5,250k-1m,4.5,61,No emergency hero CTA,No,No,No,Unknown,73,C,Low urgent-call capture,LeadLaunch Starter + emergency hero,To Contact,Find owner email,,
