company_name,contact_first_name,contact_last_name,role,email,phone,website,city,state,zip,trade,employees_est,revenue_band,google_rating,reviews_count,website_quality,has_online_booking,has_chat_widget,has_service_area_pages,last_site_update,lead_score,segment,pain_point,offer_angle,status,next_step,next_touch_date,notes
Dallas Neighborhood Plumbing,,,,,,https://example.com,Dallas,TX,75201,Plumbing,1-5,250k-1m,4.6,73,Outdated mobile UX,No,No,No,Unknown,89,A,Missed mobile calls,LeadLaunch Starter + click-to-call optimization,To Contact,Find owner email,,
Metro Leak & Drain Co.,,,,,,https://example.com,Dallas,TX,75204,Plumbing,1-5,250k-1m,4.4,58,Weak CTA placement,No,No,No,Unknown,86,A,Low homepage conversion,LeadLaunch Starter + emergency CTA block,To Contact,Find owner email,,
North Dallas Water Heater Pros,,,,,,https://example.com,Dallas,TX,75230,Plumbing,6-15,1m-3m,4.7,119,No dedicated landing pages,No,No,Partial,Unknown,84,A,High-ticket service not showcased,LeadLaunch Growth + service page map,To Contact,Find operations manager email,,
Oak Lawn Plumbing Services,,,,,,https://example.com,Dallas,TX,75219,Plumbing,1-5,250k-1m,4.3,41,No quote funnel,No,No,No,Unknown,82,B,Form friction,LeadLaunch Starter + quote flow redesign,To Contact,Find owner email,,
East Dallas Emergency Plumbing,,,,,,https://example.com,Dallas,TX,75214,Plumbing,1-5,250k-1m,4.5,67,No after-hours conversion,No,No,No,Unknown,81,B,Missed night/weekend leads,LeadLaunch Starter + missed-call SMS add-on,To Contact,Find owner email,,
Bishop Arts Plumbing Team,,,,,,https://example.com,Dallas,TX,75208,Plumbing,6-15,1m-3m,4.6,88,No lead tracking,No,No,No,Unknown,79,B,Unknown lead source quality,LeadLaunch Growth + call/form tracking,To Contact,Find office manager email,,
Lake Highlands Plumbing Group,,,,,,https://example.com,Dallas,TX,75238,Plumbing,1-5,250k-1m,4.2,36,Slow mobile speed,No,No,No,Unknown,77,B,Mobile visitor drop-off,LeadLaunch Starter + performance tune,To Contact,Find owner email,,
Uptown Pipe & Sewer,,,,,,https://example.com,Dallas,TX,75201,Plumbing,6-15,1m-3m,4.4,92,Generic copy/no trust blocks,No,No,No,Unknown,75,C,Weak trust signal,LeadLaunch Growth + social proof blocks,To Contact,Find owner email,,
Trinity Rooter Works,,,,,,https://example.com,Dallas,TX,75209,Plumbing,1-5,250k-1m,4.1,27,No service area depth,No,No,No,Unknown,73,C,Poor local relevance,LeadLaunch Growth + city pages,To Contact,Find owner email,,
White Rock Plumbing & Drain,,,,,,https://example.com,Dallas,TX,75218,Plumbing,1-5,250k-1m,4.5,63,No emergency hero CTA,No,No,No,Unknown,72,C,Low urgent-call capture,LeadLaunch Starter + emergency hero,To Contact,Find owner email,,
