company_name,contact_first_name,contact_last_name,role,email,phone,website,city,state,zip,trade,employees_est,revenue_band,google_rating,reviews_count,website_quality,has_online_booking,has_chat_widget,has_service_area_pages,last_site_update,lead_score,segment,pain_point,offer_angle,source,source_url,status,next_step,next_touch_date,notes
Acme Plumbing Co.,,,Owner,,,,,TX,,Plumbing,1-5,250k-1m,,,Needs mobile redesign,No,No,No,,87,Tier 1,Missing calls after-hours,LeadLaunch Starter + missed-call flow,Manual Research,,To Contact,Find owner email,,
Rapid Rooter Services,,,Owner,,,,,TX,,Plumbing,1-5,250k-1m,,,No conversion CTA,No,No,No,,84,Tier 1,Low website conversion,LeadLaunch Starter,Manual Research,,To Contact,Find owner email,,
Citywide Plumbing & Drain,,,Owner,,,,,TX,,Plumbing,6-15,1m-3m,,,Outdated branding,No,No,Partial,,82,Tier 1,Trust gap online,LeadLaunch Growth,Manual Research,,To Contact,Find owner email,,
Neighborhood Plumbing Pros,,,Office Manager,,,,,TX,,Plumbing,6-15,1m-3m,,,No service page depth,No,No,No,,79,Tier 2,Poor local SEO,LeadLaunch Growth + service pages,Manual Research,,To Contact,Find manager email,,
All Hours Plumbing,,,Owner,,,,,TX,,Plumbing,1-5,250k-1m,,,Slow mobile page speed,No,No,No,,78,Tier 2,Mobile drop-off,LeadLaunch Starter + speed tune,Manual Research,,To Contact,Find owner email,,
Pipes & Beyond Plumbing,,,Owner,,,,,TX,,Plumbing,1-5,250k-1m,,,No quote funnel,No,No,No,,77,Tier 2,No online quote requests,LeadLaunch Starter,Manual Research,,To Contact,Find owner email,,
Main Street Plumbing Team,,,Owner,,,,,TX,,Plumbing,1-5,250k-1m,,,Poor CTA placement,No,No,No,,76,Tier 2,Few inbound leads,LeadLaunch Starter,Manual Research,,To Contact,Find owner email,,
Trusted Flow Plumbing,,,Owner,,,,,TX,,Plumbing,6-15,1m-3m,,,No landing pages,No,No,No,,75,Tier 2,Weak emergency intent capture,LeadLaunch Growth,Manual Research,,To Contact,Find owner email,,
ClearLine Plumbing,,,Owner,,,,,TX,,Plumbing,1-5,250k-1m,,,No social proof blocks,No,No,No,,74,Tier 2,Low trust signal,LeadLaunch Starter + review section,Manual Research,,To Contact,Find owner email,,
Prime Service Plumbing,,,Owner,,,,,TX,,Plumbing,6-15,1m-3m,,,No call tracking,No,No,No,,73,Tier 2,Unknown lead source,LeadLaunch Growth + tracking,Manual Research,,To Contact,Find owner email,,
